Date,Block,Primary Type,Description,Location Description,Ward,Community Area,Year,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
05/30/2019 10:00:00 PM,038XX W GLADYS AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,28,26,2019,"(41.876225829, -87.721791324)",11,21572,27,736,23,30,16,141
05/30/2019 09:30:00 PM,055XX W HOMER ST,MOTOR VEHICLE THEFT,AUTOMOBILE,MOVIE HOUSE/THEATER,37,25,2019,"(41.915055232, -87.76417995)",52,22615,26,596,45,2,6,133
05/30/2019 09:10:00 PM,001XX N AUSTIN BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29,25,2019,"(41.883090078, -87.774753422)",52,22216,26,,7,32,25,85
05/30/2019 08:00:00 PM,069XX S STONY ISLAND AVE,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,VEHICLE NON-COMMERCIAL,5,43,2019,"(41.769467841, -87.586237993)",32,22538,39,381,33,24,18,212
05/30/2019 07:30:00 PM,040XX N SAWYER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,33,16,2019,"(41.954437577, -87.709254128)",2,21538,16,23,20,39,1,13
05/30/2019 06:20:00 PM,054XX S PRINCETON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,3,37,2019,"(41.79580867, -87.633034559)",12,14924,3,224,9,37,23,117
05/30/2019 06:00:00 PM,060XX S KOSTNER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,13,65,2019,"(41.78327709, -87.732670414)",23,21867,63,292,15,58,13,271
05/30/2019 12:55:00 PM,0000X E SUPERIOR ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,42,8,2019,"(41.895692026, -87.627298109)",22,21182,37,626,36,6,14,71
05/30/2019 12:00:00 PM,073XX N PAULINA ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,49,1,2019,"(42.014172932, -87.672420812)",3,21853,10,489,5,9,11,37
05/30/2019 11:30:00 AM,038XX N WESTERN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),47,5,2019,"(41.951605539, -87.688397292)",13,21538,46,110,18,39,5,21
05/30/2019 09:00:00 AM,0000X N CENTRAL AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29,25,2019,"(41.881120698, -87.7648888)",52,22216,26,618,7,32,25,99
05/30/2019 08:00:00 AM,014XX S FAIRFIELD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,28,29,2019,"(41.862249063, -87.694516299)",11,14920,30,16,23,43,21,151
05/30/2019 07:30:00 AM,032XX W ADAMS ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,"SCHOOL, PUBLIC, GROUNDS",28,27,2019,"(41.878370307, -87.707248137)",11,21572,28,765,23,30,16,123
05/30/2019 03:00:00 AM,012XX S INDEPENDENCE BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,24,29,2019,"(41.865453392, -87.719500335)",36,21569,30,33,14,57,21,155
05/30/2019 02:39:00 AM,039XX W ALTGELD ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,31,22,2019,"(41.926342795, -87.725208157)",27,22535,23,186,17,1,6,181
05/30/2019 01:15:00 AM,001XX W ERIE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,42,8,2019,"(41.894004024, -87.633075782)",22,4446,37,670,36,55,14,72
05/30/2019 12:00:00 AM,007XX W ALDINE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,44,6,2019,"(41.94180143, -87.648751523)",38,4449,57,730,25,22,5,18
05/30/2019 12:00:00 AM,012XX W 73RD PL,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,17,67,2019,"(41.760484408, -87.655498294)",17,22257,65,408,31,23,17,216
05/30/2019 12:00:00 AM,105XX S EDBROOKE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE-GARAGE,9,49,2019,"(41.702957921, -87.619662353)",30,21861,45,236,43,19,10,256
05/29/2019 11:00:00 PM,082XX S HALSTED ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,21,71,2019,"(41.744190804, -87.643855885)",18,21554,70,487,13,59,20,233
05/29/2019 10:15:00 PM,027XX S CENTRAL PARK AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,22,30,2019,"(41.841552651, -87.714715751)",14,21569,32,312,28,57,21,166
05/29/2019 10:00:00 PM,091XX S LONGWOOD DR,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,19,72,2019,"(41.727252634, -87.668490027)",33,22212,71,627,42,59,9,245
05/29/2019 09:00:00 PM,003XX W 74TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,6,69,2019,"(41.759909984, -87.633835514)",17,21559,67,494,32,11,17,210
05/29/2019 08:15:00 PM,117XX S WENTWORTH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,34,53,2019,"(41.681156338, -87.627561596)",45,21861,50,255,22,19,10,267
05/29/2019 08:00:00 PM,072XX N WESTERN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),50,2,2019,"(42.012737436, -87.69024548)",42,22528,20,359,27,12,11,35
05/29/2019 07:30:00 PM,050XX W SCHOOL ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,31,15,2019,"(41.940580974, -87.752459519)",25,22618,15,114,17,21,12,26
05/29/2019 06:40:00 PM,102XX W ZEMKE RD,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,OTHER,41,76,2019,"(41.994915402, -87.881610254)",34,16197,75,,29,38,12,40
05/29/2019 05:40:00 PM,063XX S MAY ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,16,68,2019,"(41.779173667, -87.653277703)",19,21559,66,436,2,11,17,203
05/29/2019 04:00:00 PM,073XX S WOLCOTT AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,17,67,2019,"(41.760418306, -87.670984705)",17,22257,65,433,31,23,17,7
05/29/2019 04:00:00 PM,050XX W CULLOM AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),45,15,2019,"(41.958817701, -87.753823399)",20,22618,15,259,50,21,12,15
05/29/2019 03:42:00 PM,003XX E 90TH ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,9,44,2019,"(41.730990336, -87.616446931)",31,21546,40,428,43,61,20,248
05/29/2019 12:00:00 PM,012XX W FARWELL AVE,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,49,1,2019,"(42.006747833, -87.662600179)",3,21853,10,66,5,9,11,39
05/29/2019 09:00:00 AM,034XX W POLK ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,24,27,2019,"(41.870892373, -87.711822456)",36,21572,28,685,14,30,16,141
05/29/2019 07:00:00 AM,076XX S YALE AVE,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,17,69,2019,"(41.755308041, -87.631177077)",17,21554,67,495,31,59,20,228
05/29/2019 06:30:00 AM,016XX N MASON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29,25,2019,"(41.909988182, -87.773989953)",52,22615,26,597,7,2,6,154
05/29/2019 06:00:00 AM,001XX S OAKLEY BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,27,28,2019,"(41.879127107, -87.683912298)",48,21184,29,89,46,28,15,75
05/29/2019 06:00:00 AM,070XX S CALUMET AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,6,69,2019,"(41.767267423, -87.616908293)",31,22260,67,514,32,60,18,211
05/29/2019 06:00:00 AM,063XX S TALMAN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,16,66,2019,"(41.778447788, -87.689717249)",44,21867,64,319,2,58,13,274
05/29/2019 06:00:00 AM,034XX W CULLOM AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,35,16,2019,"(41.959291472, -87.714718048)",2,21538,16,56,12,39,1,9
05/29/2019 06:00:00 AM,097XX S LA SALLE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,21,49,2019,"(41.717739733, -87.627359264)",18,21861,45,568,13,19,10,250
05/29/2019 03:00:00 AM,095XX S WENTWORTH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,21,49,2019,"(41.72075812, -87.628641244)",18,21861,45,568,13,19,10,250
05/28/2019 11:30:00 PM,055XX W VAN BUREN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29,25,2019,"(41.87475411, -87.762690738)",52,22216,26,68,7,32,25,97
05/28/2019 11:20:00 PM,042XX W WASHINGTON BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,28,26,2019,"(41.881978634, -87.73130256)",11,21572,27,619,23,30,16,83
05/28/2019 10:00:00 PM,044XX W VAN BUREN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),28,26,2019,"(41.875132577, -87.736195245)",36,21572,27,716,23,30,16,143
05/28/2019 10:00:00 PM,037XX W 81ST ST,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,18,70,2019,"(41.745936118, -87.715733437)",6,4300,69,199,30,8,13,232
05/28/2019 08:50:00 PM,016XX W VAN BUREN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,27,28,2019,"(41.876351148, -87.666880865)",48,21184,29,90,46,28,15,136
05/28/2019 06:30:00 PM,002XX W 87TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),21,44,2019,"(41.736126864, -87.629184056)",18,21554,40,1,13,59,20,236
05/28/2019 06:00:00 PM,015XX W DEVON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,40,1,2019,"(41.998103671, -87.668264445)",46,4451,76,536,16,14,11,50
05/28/2019 05:00:00 PM,021XX W GLADYS AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),27,28,2019,"(41.876915862, -87.679667927)",48,21184,29,89,46,28,15,139
05/28/2019 03:33:00 PM,115XX S PERRY AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,34,53,2019,"(41.68459767, -87.625320098)",45,21861,50,255,22,19,10,267
05/28/2019 03:30:00 PM,020XX N CAMPBELL AVE,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,NURSING HOME/RETIREMENT HOME,1,22,2019,"(41.919222845, -87.689215828)",24,22535,23,323,41,1,7,184
05/28/2019 03:00:00 PM,007XX N SACRAMENTO BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,27,23,2019,"(41.893990113, -87.702155577)",41,21184,24,177,46,28,15,80
05/28/2019 03:00:00 PM,068XX S CALUMET AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,20,69,2019,"(41.770541916, -87.616996497)",53,22260,67,514,4,60,18,211
